p1,p2,ptype,fid1,fid2,tags,set,nsamples,pp,new_type,old_tags,label
F0915/MID4,F0915/MID6,ms,F0915,F0915,867,0,4,F0915.MID4.MID6,,ms,2
F0730/MID3,F0730/MID1,fs,F0730,F0730,686,0,24,F0730.MID3.MID1,,fs,0
F0403/MID2,F0403/MID5,md,F0403,F0403,375,0,7,F0403.MID2.MID5,,md,3
F0253/MID1,F0253/MID4,ms,F0253,F0253,238,0,8,F0253.MID1.MID4,,ms,2
F0325/MID2,F0325/MID3,md,F0325,F0325,304,0,24,F0325.MID2.MID3,,md,3
F0956/MID1,F0956/MID3,fd,F0956,F0956,908,0,45,F0956.MID1.MID3,,fd,1
F0708/MID3,F0708/MID8,md,F0708,F0708,665,0,32,F0708.MID3.MID8,,md,3
F0325/MID4,F0325/MID5,fd,F0325,F0325,304,0,12,F0325.MID4.MID5,,fd,1
F0885/MID5,F0885/MID1,fs,F0885,F0885,838,0,40,F0885.MID5.MID1,,fs,0
F0932/MID1,F0932/MID2,md,F0932,F0932,884,0,60,F0932.MID1.MID2,,md,3
F0377/MID2,F0377/MID7,fd,F0377,F0377,353,0,7,F0377.MID2.MID7,,fd,1
F0378/MID2,F0378/MID1,fs,F0378,F0378,354,0,2,F0378.MID2.MID1,,fs,0
F0477/MID1,F0477/MID4,fd,F0477,F0477,447,0,10,F0477.MID1.MID4,,fd,1
F0743/MID4,F0743/MID1,md,F0743,F0743,699,0,24,F0743.MID4.MID1,,md,3
F0911/MID1,F0911/MID3,fs,F0911,F0911,864,0,45,F0911.MID1.MID3,,fs,0
F0508/MID1,F0508/MID2,fs,F0508,F0508,475,0,63,F0508.MID1.MID2,,fs,0
F0918/MID6,F0918/MID5,ms,F0918,F0918,870,0,12,F0918.MID6.MID5,,ms,2
F0163/MID2,F0163/MID5,ms,F0163,F0163,154,0,40,F0163.MID2.MID5,,ms,2
F0742/MID8,F0742/MID3,md,F0742,F0742,698,0,6,F0742.MID8.MID3,,md,3
F0388/MID1,F0388/MID5,fd,F0388,F0388,363,0,32,F0388.MID1.MID5,,fd,1
F0098/MID1,F0098/MID3,fd,F0098,F0098,91,0,80,F0098.MID1.MID3,,fd,1
F0439/MID2,F0439/MID5,ms,F0439,F0439,411,0,35,F0439.MID2.MID5,,ms,2
F0774/MID1,F0774/MID4,fs,F0774,F0774,729,0,54,F0774.MID1.MID4,,fs,0
F0895/MID1,F0895/MID4,fd,F0895,F0895,848,0,50,F0895.MID1.MID4,,fd,1
F0971/MID1,F0971/MID5,ms,F0971,F0971,923,0,18,F0971.MID1.MID5,,ms,2
F0771/MID1,F0771/MID6,fs,F0771,F0771,727,0,88,F0771.MID1.MID6,,fs,0
F0206/MID2,F0206/MID13,ms,F0206,F0206,194,0,42,F0206.MID2.MID13,,ms,2
F0742/MID1,F0742/MID7,fs,F0742,F0742,698,0,16,F0742.MID1.MID7,,fs,0
F0991/MID8,F0991/MID10,fs,F0991,F0991,943,0,1,F0991.MID8.MID10,,fs,0
F0673/MID1,F0673/MID5,fs,F0673,F0673,633,0,4,F0673.MID1.MID5,,fs,0
F0116/MID4,F0116/MID2,ms,F0116,F0116,108,0,12,F0116.MID4.MID2,,ms,2
F0192/MID1,F0192/MID3,fd,F0192,F0192,181,0,20,F0192.MID1.MID3,,fd,1
F0926/MID2,F0926/MID3,ms,F0926,F0926,878,0,12,F0926.MID2.MID3,,ms,2
F0922/MID1,F0922/MID4,fd,F0922,F0922,874,0,24,F0922.MID1.MID4,,fd,1
F0966/MID2,F0966/MID4,md,F0966,F0966,918,0,8,F0966.MID2.MID4,,md,3
F0760/MID1,F0760/MID3,fs,F0760,F0760,716,0,60,F0760.MID1.MID3,,fs,0
F0465/MID3,F0465/MID2,md,F0465,F0465,435,0,7,F0465.MID3.MID2,,md,3
F0136/MID1,F0136/MID2,fs,F0136,F0136,128,0,16,F0136.MID1.MID2,,fs,0
F0464/MID2,F0464/MID3,md,F0464,F0464,434,0,9,F0464.MID2.MID3,,md,3
F0010/MID2,F0010/MID3,ms,F0010,F0010,9,0,80,F0010.MID2.MID3,,ms,2
F0545/MID1,F0545/MID4,fd,F0545,F0545,512,0,88,F0545.MID1.MID4,,fd,1
F0228/MID1,F0228/MID4,fd,F0228,F0228,214,0,10,F0228.MID1.MID4,,fd,1
F0262/MID2,F0262/MID5,md,F0262,F0262,246,0,50,F0262.MID2.MID5,,md,3
F0978/MID6,F0978/MID1,fd,F0978,F0978,930,0,6,F0978.MID6.MID1,,fd,1
F0972/MID1,F0972/MID3,ms,F0972,F0972,924,0,27,F0972.MID1.MID3,,ms,2
F0214/MID4,F0214/MID2,ms,F0214,F0214,202,0,8,F0214.MID4.MID2,,ms,2
F0874/MID1,F0874/MID5,fd,F0874,F0874,827,0,40,F0874.MID1.MID5,,fd,1
F0973/MID3,F0973/MID4,fd,F0973,F0973,925,0,3,F0973.MID3.MID4,,fd,1
F0849/MID2,F0849/MID1,md,F0849,F0849,803,0,90,F0849.MID2.MID1,,md,3
F1005/MID1,F1005/MID4,fs,F1005,F1005,957,0,45,F1005.MID1.MID4,,fs,0
F0646/MID1,F0646/MID6,md,F0646,F0646,607,0,36,F0646.MID1.MID6,,md,3
F0960/MID1,F0960/MID3,fd,F0960,F0960,912,0,80,F0960.MID1.MID3,,fd,1
F0118/MID2,F0118/MID7,ms,F0118,F0118,110,0,299,F0118.MID2.MID7,,ms,2
F0956/MID5,F0956/MID3,md,F0956,F0956,908,0,10,F0956.MID5.MID3,,md,3
F0254/MID3,F0254/MID1,ms,F0254,F0254,239,0,9,F0254.MID3.MID1,,ms,2
F0380/MID5,F0380/MID6,fs,F0380,F0380,356,0,4,F0380.MID5.MID6,,fs,0
F0013/MID1,F0013/MID9,fs,F0013,F0013,12,0,20,F0013.MID1.MID9,,fs,0
F0294/MID1,F0294/MID4,ms,F0294,F0294,275,0,18,F0294.MID1.MID4,,ms,2
F0780/MID2,F0780/MID1,fd,F0780,F0780,735,0,60,F0780.MID2.MID1,,fd,1
F0293/MID5,F0293/MID3,fs,F0293,F0293,274,0,20,F0293.MID5.MID3,,fs,0
F0733/MID2,F0733/MID5,md,F0733,F0733,689,0,5,F0733.MID2.MID5,,md,3
F0738/MID1,F0738/MID2,md,F0738,F0738,694,0,49,F0738.MID1.MID2,,md,3
F0561/MID3,F0561/MID1,fs,F0561,F0561,527,0,4,F0561.MID3.MID1,,fs,0
F0291/MID3,F0291/MID1,md,F0291,F0291,273,0,10,F0291.MID3.MID1,,md,3
F0105/MID2,F0105/MID5,ms,F0105,F0105,97,0,24,F0105.MID2.MID5,,ms,2
F0708/MID1,F0708/MID3,fd,F0708,F0708,665,0,288,F0708.MID1.MID3,,fd,1
F0726/MID2,F0726/MID4,fs,F0726,F0726,682,0,15,F0726.MID2.MID4,,fs,0
F0601/MID6,F0601/MID33,fd,F0601,F0601,565,0,1744,F0601.MID6.MID33,,fd,1
F0467/MID3,F0467/MID6,md,F0467,F0467,437,0,4,F0467.MID3.MID6,,md,3
F0081/MID1,F0081/MID8,fd,F0081,F0081,74,0,12,F0081.MID1.MID8,,fd,1
F0138/MID6,F0138/MID2,ms,F0138,F0138,130,0,1,F0138.MID6.MID2,,ms,2
F0878/MID1,F0878/MID4,fd,F0878,F0878,831,0,30,F0878.MID1.MID4,,fd,1
F0090/MID1,F0090/MID2,fd,F0090,F0090,83,0,114,F0090.MID1.MID2,,fd,1
F0687/MID4,F0687/MID2,ms,F0687,F0687,647,0,12,F0687.MID4.MID2,,ms,2
F0610/MID6,F0610/MID7,md,F0610,F0610,573,0,1,F0610.MID6.MID7,,md,3
F0257/MID4,F0257/MID1,ms,F0257,F0257,242,0,24,F0257.MID4.MID1,,ms,2
F0987/MID8,F0987/MID9,fs,F0987,F0987,939,0,51,F0987.MID8.MID9,,fs,0
F0773/MID5,F0773/MID2,fs,F0773,F0773,728,0,6,F0773.MID5.MID2,,fs,0
F0338/MID1,F0338/MID2,fd,F0338,F0338,316,0,32,F0338.MID1.MID2,,fd,1
F0302/MID1,F0302/MID4,md,F0302,F0302,283,0,42,F0302.MID1.MID4,,md,3
F0188/MID4,F0188/MID5,md,F0188,F0188,177,0,15,F0188.MID4.MID5,,md,3
F0264/MID6,F0264/MID2,ms,F0264,F0264,248,0,1,F0264.MID6.MID2,,ms,2
F0393/MID1,F0393/MID6,fs,F0393,F0393,368,0,5,F0393.MID1.MID6,,fs,0
F0444/MID2,F0444/MID3,md,F0444,F0444,416,0,40,F0444.MID2.MID3,,md,3
F0229/MID5,F0229/MID1,fs,F0229,F0229,215,0,4,F0229.MID5.MID1,,fs,0
F1013/MID2,F1013/MID5,ms,F1013,F1013,959,0,54,F1013.MID2.MID5,,ms,2
F0473/MID2,F0473/MID6,fd,F0473,F0473,443,0,21,F0473.MID2.MID6,,fd,1
F0195/MID3,F0195/MID1,fs,F0195,F0195,184,0,12,F0195.MID3.MID1,,fs,0
F0642/MID6,F0642/MID1,fs,F0642,F0642,603,0,72,F0642.MID6.MID1,,fs,0
F0798/MID2,F0798/MID6,fd,F0798,F0798,752,0,5,F0798.MID2.MID6,,fd,1
F0173/MID3,F0173/MID7,ms,F0173,F0173,164,0,30,F0173.MID3.MID7,,ms,2
F0954/MID1,F0954/MID4,fs,F0954,F0954,906,0,66,F0954.MID1.MID4,,fs,0
F0822/MID2,F0822/MID4,fs,F0822,F0822,776,0,1,F0822.MID2.MID4,,fs,0
F0703/MID1,F0703/MID7,fs,F0703,F0703,662,0,5,F0703.MID1.MID7,,fs,0
F0338/MID1,F0338/MID4,fd,F0338,F0338,316,0,8,F0338.MID1.MID4,,fd,1
F0937/MID1,F0937/MID5,fd,F0937,F0937,889,0,20,F0937.MID1.MID5,,fd,1
F0387/MID7,F0387/MID1,md,F0387,F0387,362,0,16,F0387.MID7.MID1,,md,3
F0601/MID16,F0601/MID41,md,F0601,F0601,565,0,24,F0601.MID16.MID41,,md,3
F0664/MID1,F0664/MID3,md,F0664,F0664,625,0,45,F0664.MID1.MID3,,md,3
F0928/MID2,F0928/MID3,md,F0928,F0928,880,0,28,F0928.MID2.MID3,,md,3
F0009/MID7,F0009/MID1,ms,F0009,F0009,8,0,294,F0009.MID7.MID1,,ms,2
F0984/MID2,F0984/MID6,ms,F0984,F0984,936,0,49,F0984.MID2.MID6,,ms,2
F0372/MID2,F0372/MID3,md,F0372,F0372,348,0,50,F0372.MID2.MID3,,md,3
F0142/MID7,F0142/MID3,md,F0142,F0142,133,0,7,F0142.MID7.MID3,,md,3
F0600/MID1,F0600/MID3,fs,F0600,F0600,564,0,105,F0600.MID1.MID3,,fs,0
F0029/MID1,F0029/MID3,fd,F0029,F0029,24,0,16,F0029.MID1.MID3,,fd,1
F0998/MID6,F0998/MID1,ms,F0998,F0998,950,0,2,F0998.MID6.MID1,,ms,2
F0695/MID3,F0695/MID5,fd,F0695,F0695,655,0,5,F0695.MID3.MID5,,fd,1
F0251/MID7,F0251/MID3,ms,F0251,F0251,236,0,3,F0251.MID7.MID3,,ms,2
F0851/MID1,F0851/MID3,fd,F0851,F0851,805,0,20,F0851.MID1.MID3,,fd,1
F0702/MID7,F0702/MID2,fs,F0702,F0702,661,0,2,F0702.MID7.MID2,,fs,0
F0918/MID7,F0918/MID1,ms,F0918,F0918,870,0,9,F0918.MID7.MID1,,ms,2
F0804/MID4,F0804/MID1,fd,F0804,F0804,758,0,40,F0804.MID4.MID1,,fd,1
F0529/MID2,F0529/MID1,fs,F0529,F0529,496,0,51,F0529.MID2.MID1,,fs,0
F0878/MID2,F0878/MID4,md,F0878,F0878,831,0,24,F0878.MID2.MID4,,md,3
F0029/MID2,F0029/MID7,md,F0029,F0029,24,0,24,F0029.MID2.MID7,,md,3
F0202/MID2,F0202/MID3,md,F0202,F0202,191,0,24,F0202.MID2.MID3,,md,3
F1002/MID2,F1002/MID5,md,F1002,F1002,954,0,77,F1002.MID2.MID5,,md,3
F0842/MID3,F0842/MID4,md,F0842,F0842,796,0,8,F0842.MID3.MID4,,md,3
F0760/MID2,F0760/MID3,ms,F0760,F0760,716,0,36,F0760.MID2.MID3,,ms,2
F0940/MID1,F0940/MID5,fd,F0940,F0940,892,0,10,F0940.MID1.MID5,,fd,1
F0004/MID1,F0004/MID6,fs,F0004,F0004,3,0,54,F0004.MID1.MID6,,fs,0
F0971/MID4,F0971/MID5,fs,F0971,F0971,923,0,4,F0971.MID4.MID5,,fs,0
F0718/MID2,F0718/MID4,ms,F0718,F0718,674,0,36,F0718.MID2.MID4,,ms,2
F0090/MID13,F0090/MID1,ms,F0090,F0090,83,0,38,F0090.MID13.MID1,,ms,2
F0289/MID4,F0289/MID2,md,F0289,F0289,271,0,36,F0289.MID4.MID2,,md,3
F0208/MID2,F0208/MID3,ms,F0208,F0208,196,0,20,F0208.MID2.MID3,,ms,2
F0294/MID2,F0294/MID4,fs,F0294,F0294,275,0,10,F0294.MID2.MID4,,fs,0
F0571/MID1,F0571/MID2,fd,F0571,F0571,537,0,70,F0571.MID1.MID2,,fd,1
F0993/MID5,F0993/MID2,fs,F0993,F0993,945,0,18,F0993.MID5.MID2,,fs,0
F0955/MID7,F0955/MID2,fs,F0955,F0955,907,0,5,F0955.MID7.MID2,,fs,0
F0746/MID3,F0746/MID4,md,F0746,F0746,702,0,6,F0746.MID3.MID4,,md,3
F0639/MID2,F0639/MID1,md,F0639,F0639,601,0,1,F0639.MID2.MID1,,md,3
F0548/MID2,F0548/MID3,md,F0548,F0548,515,0,60,F0548.MID2.MID3,,md,3
F0206/MID3,F0206/MID9,fd,F0206,F0206,194,0,52,F0206.MID3.MID9,,fd,1
F0579/MID1,F0579/MID2,ms,F0579,F0579,544,0,16,F0579.MID1.MID2,,ms,2
F0987/MID6,F0987/MID11,md,F0987,F0987,939,0,44,F0987.MID6.MID11,,md,3
F0821/MID1,F0821/MID9,fd,F0821,F0821,775,0,18,F0821.MID1.MID9,,fd,1
F0974/MID2,F0974/MID3,md,F0974,F0974,926,0,56,F0974.MID2.MID3,,md,3
F0544/MID4,F0544/MID2,ms,F0544,F0544,511,0,4,F0544.MID4.MID2,,ms,2
F0197/MID1,F0197/MID4,md,F0197,F0197,186,0,80,F0197.MID1.MID4,,md,3
F0937/MID1,F0937/MID2,fs,F0937,F0937,889,0,30,F0937.MID1.MID2,,fs,0
F0096/MID2,F0096/MID1,fs,F0096,F0096,89,0,54,F0096.MID2.MID1,,fs,0
F0658/MID1,F0658/MID3,fs,F0658,F0658,619,0,33,F0658.MID1.MID3,,fs,0
F0305/MID3,F0305/MID2,ms,F0305,F0305,286,0,21,F0305.MID3.MID2,,ms,2
F0690/MID2,F0690/MID9,md,F0690,F0690,650,0,3,F0690.MID2.MID9,,md,3
F0066/MID1,F0066/MID5,fd,F0066,F0066,59,0,99,F0066.MID1.MID5,,fd,1
F0528/MID1,F0528/MID4,fs,F0528,F0528,495,0,126,F0528.MID1.MID4,,fs,0
F0307/MID4,F0307/MID5,fs,F0307,F0307,287,0,50,F0307.MID4.MID5,,fs,0
F0991/MID17,F0991/MID16,ms,F0991,F0991,943,0,1,F0991.MID17.MID16,,ms,2
F0550/MID2,F0550/MID1,fs,F0550,F0550,517,0,22,F0550.MID2.MID1,,fs,0
F0992/MID7,F0992/MID8,ms,F0992,F0992,944,0,20,F0992.MID7.MID8,,ms,2
F0673/MID4,F0673/MID1,ms,F0673,F0673,633,0,2,F0673.MID4.MID1,,ms,2
F0650/MID2,F0650/MID6,ms,F0650,F0650,611,0,6,F0650.MID2.MID6,,ms,2
F0432/MID6,F0432/MID5,md,F0432,F0432,404,0,12,F0432.MID6.MID5,,md,3
F0052/MID2,F0052/MID4,fd,F0052,F0052,47,0,6,F0052.MID2.MID4,,fd,1
F0922/MID2,F0922/MID3,ms,F0922,F0922,874,0,32,F0922.MID2.MID3,,ms,2
F0503/MID5,F0503/MID6,fd,F0503,F0503,470,0,1,F0503.MID5.MID6,,fd,1
F0579/MID9,F0579/MID4,fs,F0579,F0579,544,0,24,F0579.MID9.MID4,,fs,0
F0393/MID1,F0393/MID5,fs,F0393,F0393,368,0,5,F0393.MID1.MID5,,fs,0
F0537/MID2,F0537/MID4,md,F0537,F0537,504,0,48,F0537.MID2.MID4,,md,3
F0350/MID5,F0350/MID4,ms,F0350,F0350,327,0,7,F0350.MID5.MID4,,ms,2
F1018/MID2,F1018/MID3,fd,F1018,F1018,962,0,110,F1018.MID2.MID3,,fd,1
F0729/MID1,F0729/MID6,fd,F0729,F0729,685,0,120,F0729.MID1.MID6,,fd,1
F0442/MID5,F0442/MID1,md,F0442,F0442,414,0,36,F0442.MID5.MID1,,md,3
F0802/MID1,F0802/MID5,fd,F0802,F0802,756,0,16,F0802.MID1.MID5,,fd,1
F0036/MID6,F0036/MID7,ms,F0036,F0036,31,0,4,F0036.MID6.MID7,,ms,2
F0747/MID2,F0747/MID1,fd,F0747,F0747,703,0,28,F0747.MID2.MID1,,fd,1
F0188/MID1,F0188/MID5,fd,F0188,F0188,177,0,25,F0188.MID1.MID5,,fd,1
F0415/MID3,F0415/MID2,fs,F0415,F0415,387,0,18,F0415.MID3.MID2,,fs,0
F0664/MID9,F0664/MID1,fd,F0664,F0664,625,0,15,F0664.MID9.MID1,,fd,1
F0084/MID5,F0084/MID1,ms,F0084,F0084,77,0,24,F0084.MID5.MID1,,ms,2
F0289/MID4,F0289/MID5,md,F0289,F0289,271,0,16,F0289.MID4.MID5,,md,3
F0047/MID1,F0047/MID2,ms,F0047,F0047,42,0,66,F0047.MID1.MID2,,ms,2
F0081/MID2,F0081/MID7,ms,F0081,F0081,74,0,7,F0081.MID2.MID7,,ms,2
F0814/MID3,F0814/MID6,fs,F0814,F0814,768,0,8,F0814.MID3.MID6,,fs,0
F0113/MID1,F0113/MID2,fs,F0113,F0113,105,0,50,F0113.MID1.MID2,,fs,0
F0658/MID2,F0658/MID3,ms,F0658,F0658,619,0,18,F0658.MID2.MID3,,ms,2
F0951/MID2,F0951/MID3,ms,F0951,F0951,903,0,40,F0951.MID2.MID3,,ms,2
F0246/MID3,F0246/MID4,fd,F0246,F0246,231,0,3,F0246.MID3.MID4,,fd,1
F0174/MID1,F0174/MID7,fd,F0174,F0174,165,0,44,F0174.MID1.MID7,,fd,1
F0482/MID2,F0482/MID1,md,F0482,F0482,452,0,24,F0482.MID2.MID1,,md,3
F0192/MID1,F0192/MID4,fd,F0192,F0192,181,0,15,F0192.MID1.MID4,,fd,1
F0641/MID1,F0641/MID7,fs,F0641,F0641,602,0,8,F0641.MID1.MID7,,fs,0
F0740/MID3,F0740/MID5,fs,F0740,F0740,696,0,4,F0740.MID3.MID5,,fs,0
F0032/MID4,F0032/MID2,fs,F0032,F0032,27,0,30,F0032.MID4.MID2,,fs,0
F0001/MID2,F0001/MID3,ms,F0001,F0001,0,0,5,F0001.MID2.MID3,,ms,2
F0940/MID1,F0940/MID6,fd,F0940,F0940,892,0,10,F0940.MID1.MID6,,fd,1
F0327/MID7,F0327/MID3,fs,F0327,F0327,306,0,2,F0327.MID7.MID3,,fs,0
F0038/MID1,F0038/MID2,fd,F0038,F0038,33,0,96,F0038.MID1.MID2,,fd,1
F0104/MID2,F0104/MID7,fs,F0104,F0104,96,0,9,F0104.MID2.MID7,,fs,0
F0844/MID1,F0844/MID2,fd,F0844,F0844,798,0,64,F0844.MID1.MID2,,fd,1
F0645/MID4,F0645/MID1,fs,F0645,F0645,606,0,8,F0645.MID4.MID1,,fs,0
F0997/MID4,F0997/MID2,md,F0997,F0997,949,0,24,F0997.MID4.MID2,,md,3
F0795/MID2,F0795/MID4,ms,F0795,F0795,749,0,24,F0795.MID2.MID4,,ms,2
F0031/MID4,F0031/MID1,md,F0031,F0031,26,0,63,F0031.MID4.MID1,,md,3
F0061/MID5,F0061/MID7,ms,F0061,F0061,54,0,2,F0061.MID5.MID7,,ms,2
F0050/MID1,F0050/MID3,fd,F0050,F0050,45,0,15,F0050.MID1.MID3,,fd,1
F0401/MID1,F0401/MID7,fd,F0401,F0401,373,0,12,F0401.MID1.MID7,,fd,1
F0929/MID1,F0929/MID4,fd,F0929,F0929,881,0,10,F0929.MID1.MID4,,fd,1
F0062/MID1,F0062/MID2,fd,F0062,F0062,55,0,18,F0062.MID1.MID2,,fd,1
F0812/MID2,F0812/MID3,md,F0812,F0812,766,0,143,F0812.MID2.MID3,,md,3
F0262/MID2,F0262/MID4,ms,F0262,F0262,246,0,30,F0262.MID2.MID4,,ms,2
F0773/MID5,F0773/MID1,fs,F0773,F0773,728,0,8,F0773.MID5.MID1,,fs,0
F0662/MID1,F0662/MID3,fs,F0662,F0662,623,0,5,F0662.MID1.MID3,,fs,0
F0729/MID1,F0729/MID5,fs,F0729,F0729,685,0,105,F0729.MID1.MID5,,fs,0
F0881/MID1,F0881/MID3,fd,F0881,F0881,834,0,63,F0881.MID1.MID3,,fd,1
F0197/MID1,F0197/MID5,md,F0197,F0197,186,0,70,F0197.MID1.MID5,,md,3
F0889/MID4,F0889/MID2,fd,F0889,F0889,842,0,6,F0889.MID4.MID2,,fd,1
F0796/MID6,F0796/MID5,ms,F0796,F0796,750,0,2,F0796.MID6.MID5,,ms,2
F0701/MID3,F0701/MID4,ms,F0701,F0701,660,0,6,F0701.MID3.MID4,,ms,2
F0338/MID3,F0338/MID5,ms,F0338,F0338,316,0,4,F0338.MID3.MID5,,ms,2
F0825/MID6,F0825/MID3,md,F0825,F0825,779,0,1,F0825.MID6.MID3,,md,3
F0242/MID1,F0242/MID5,fs,F0242,F0242,227,0,30,F0242.MID1.MID5,,fs,0
F0215/MID5,F0215/MID1,fs,F0215,F0215,203,0,6,F0215.MID5.MID1,,fs,0
F0898/MID1,F0898/MID3,ms,F0898,F0898,851,0,36,F0898.MID1.MID3,,ms,2
F0548/MID1,F0548/MID3,fd,F0548,F0548,515,0,84,F0548.MID1.MID3,,fd,1
F0796/MID8,F0796/MID3,fd,F0796,F0796,750,0,18,F0796.MID8.MID3,,fd,1
F0253/MID1,F0253/MID3,ms,F0253,F0253,238,0,8,F0253.MID1.MID3,,ms,2
F0992/MID12,F0992/MID19,fd,F0992,F0992,944,0,9,F0992.MID12.MID19,,fd,1
F0509/MID1,F0509/MID3,ms,F0509,F0509,476,0,40,F0509.MID1.MID3,,ms,2
F0992/MID2,F0992/MID4,fs,F0992,F0992,944,0,126,F0992.MID2.MID4,,fs,0
F0388/MID1,F0388/MID3,fs,F0388,F0388,363,0,8,F0388.MID1.MID3,,fs,0
F0326/MID2,F0326/MID7,md,F0326,F0326,305,0,24,F0326.MID2.MID7,,md,3
F0739/MID5,F0739/MID2,fs,F0739,F0739,695,0,3,F0739.MID5.MID2,,fs,0
F0818/MID1,F0818/MID3,fd,F0818,F0818,772,0,4,F0818.MID1.MID3,,fd,1
F0650/MID4,F0650/MID3,md,F0650,F0650,611,0,1,F0650.MID4.MID3,,md,3
F0190/MID4,F0190/MID1,ms,F0190,F0190,179,0,208,F0190.MID4.MID1,,ms,2
F0979/MID2,F0979/MID5,ms,F0979,F0979,931,0,8,F0979.MID2.MID5,,ms,2
F0961/MID5,F0961/MID1,ms,F0961,F0961,913,0,12,F0961.MID5.MID1,,ms,2
F0001/MID1,F0001/MID3,fs,F0001,F0001,0,0,6,F0001.MID1.MID3,,fs,0
F0291/MID5,F0291/MID2,ms,F0291,F0291,273,0,24,F0291.MID5.MID2,,ms,2
F0718/MID1,F0718/MID3,fd,F0718,F0718,674,0,49,F0718.MID1.MID3,,fd,1
F0542/MID5,F0542/MID3,md,F0542,F0542,509,0,45,F0542.MID5.MID3,,md,3
F0338/MID3,F0338/MID2,md,F0338,F0338,316,0,8,F0338.MID3.MID2,,md,3
F0062/MID5,F0062/MID3,md,F0062,F0062,55,0,8,F0062.MID5.MID3,,md,3
F0128/MID5,F0128/MID8,fs,F0128,F0128,120,0,5,F0128.MID5.MID8,,fs,0
F0101/MID3,F0101/MID6,fs,F0101,F0101,94,0,30,F0101.MID3.MID6,,fs,0
F0070/MID1,F0070/MID5,fs,F0070,F0070,63,0,21,F0070.MID1.MID5,,fs,0
F0605/MID1,F0605/MID2,fd,F0605,F0605,569,0,12,F0605.MID1.MID2,,fd,1
F0015/MID4,F0015/MID3,fd,F0015,F0015,13,0,144,F0015.MID4.MID3,,fd,1
F0439/MID4,F0439/MID3,fs,F0439,F0439,411,0,40,F0439.MID4.MID3,,fs,0
F0362/MID1,F0362/MID3,fs,F0362,F0362,339,0,32,F0362.MID1.MID3,,fs,0
F1003/MID2,F1003/MID3,ms,F1003,F1003,955,0,30,F1003.MID2.MID3,,ms,2
F1013/MID2,F1013/MID4,md,F1013,F1013,959,0,63,F1013.MID2.MID4,,md,3
F0009/MID5,F0009/MID1,fs,F0009,F0009,8,0,546,F0009.MID5.MID1,,fs,0
F0173/MID1,F0173/MID4,fd,F0173,F0173,164,0,96,F0173.MID1.MID4,,fd,1
F0009/MID5,F0009/MID2,fs,F0009,F0009,8,0,364,F0009.MID5.MID2,,fs,0
F0401/MID4,F0401/MID7,md,F0401,F0401,373,0,9,F0401.MID4.MID7,,md,3
F0639/MID1,F0639/MID4,md,F0639,F0639,601,0,1,F0639.MID1.MID4,,md,3
F0402/MID1,F0402/MID4,fs,F0402,F0402,374,0,36,F0402.MID1.MID4,,fs,0
F0933/MID1,F0933/MID5,fd,F0933,F0933,885,0,63,F0933.MID1.MID5,,fd,1
F0009/MID7,F0009/MID4,ms,F0009,F0009,8,0,140,F0009.MID7.MID4,,ms,2
F0959/MID5,F0959/MID3,fd,F0959,F0959,911,0,36,F0959.MID5.MID3,,fd,1
F0537/MID1,F0537/MID6,fs,F0537,F0537,504,0,40,F0537.MID1.MID6,,fs,0
F0816/MID1,F0816/MID5,fd,F0816,F0816,770,0,18,F0816.MID1.MID5,,fd,1
F0838/MID4,F0838/MID5,fs,F0838,F0838,792,0,20,F0838.MID4.MID5,,fs,0
F1003/MID1,F1003/MID3,fs,F1003,F1003,955,0,30,F1003.MID1.MID3,,fs,0
F0382/MID1,F0382/MID3,fs,F0382,F0382,357,0,20,F0382.MID1.MID3,,fs,0
F0086/MID1,F0086/MID3,fd,F0086,F0086,79,0,70,F0086.MID1.MID3,,fd,1
F0015/MID1,F0015/MID2,md,F0015,F0015,13,0,289,F0015.MID1.MID2,,md,3
F0419/MID2,F0419/MID3,fs,F0419,F0419,391,0,63,F0419.MID2.MID3,,fs,0
F0084/MID5,F0084/MID2,md,F0084,F0084,77,0,12,F0084.MID5.MID2,,md,3
F0934/MID3,F0934/MID1,md,F0934,F0934,886,0,30,F0934.MID3.MID1,,md,3
F0348/MID2,F0348/MID3,ms,F0348,F0348,325,0,77,F0348.MID2.MID3,,ms,2
F0804/MID3,F0804/MID1,md,F0804,F0804,758,0,8,F0804.MID3.MID1,,md,3
F0715/MID3,F0715/MID5,ms,F0715,F0715,671,0,8,F0715.MID3.MID5,,ms,2
F0256/MID1,F0256/MID4,fd,F0256,F0256,241,0,42,F0256.MID1.MID4,,fd,1
F0880/MID4,F0880/MID3,fd,F0880,F0880,833,0,14,F0880.MID4.MID3,,fd,1
F0695/MID3,F0695/MID4,fd,F0695,F0695,655,0,5,F0695.MID3.MID4,,fd,1
F0897/MID4,F0897/MID9,fs,F0897,F0897,850,0,2,F0897.MID4.MID9,,fs,0
F0701/MID3,F0701/MID1,md,F0701,F0701,660,0,27,F0701.MID3.MID1,,md,3
F0131/MID1,F0131/MID3,fd,F0131,F0131,123,0,7,F0131.MID1.MID3,,fd,1
F0173/MID1,F0173/MID6,fd,F0173,F0173,164,0,108,F0173.MID1.MID6,,fd,1
F0523/MID1,F0523/MID4,fs,F0523,F0523,490,0,5,F0523.MID1.MID4,,fs,0
F0764/MID5,F0764/MID1,fd,F0764,F0764,720,0,11,F0764.MID5.MID1,,fd,1
